epoch 0 iteration100, G Loss: 0.7601101398468018, D Loss: 1.3866448402404785
epoch 0 iteration200, G Loss: 0.724858820438385, D Loss: 1.3862707614898682
epoch 0 iteration300, G Loss: 0.749650239944458, D Loss: 1.3859641551971436
epoch 1 iteration100, G Loss: 0.7270513772964478, D Loss: 1.3858880996704102
epoch 1 iteration200, G Loss: 0.7053757905960083, D Loss: 1.3857183456420898
epoch 1 iteration300, G Loss: 0.6899381875991821, D Loss: 1.3870506286621094
epoch 2 iteration100, G Loss: 0.686558187007904, D Loss: 1.388410210609436
epoch 2 iteration200, G Loss: 0.765653133392334, D Loss: 1.386927843093872
epoch 2 iteration300, G Loss: 0.698645293712616, D Loss: 1.385892629623413
epoch 3 iteration100, G Loss: 0.7226523756980896, D Loss: 1.3863856792449951
epoch 3 iteration200, G Loss: 0.7417192459106445, D Loss: 1.388424277305603
epoch 3 iteration300, G Loss: 0.7398328185081482, D Loss: 1.3861792087554932
epoch 4 iteration100, G Loss: 0.7466545104980469, D Loss: 1.3863539695739746
epoch 4 iteration200, G Loss: 0.7380688786506653, D Loss: 1.3846423625946045
epoch 4 iteration300, G Loss: 0.7260010838508606, D Loss: 1.3874480724334717
epoch 5 iteration100, G Loss: 0.723516047000885, D Loss: 1.385650396347046
epoch 5 iteration200, G Loss: 0.7246048450469971, D Loss: 1.3865363597869873
epoch 5 iteration300, G Loss: 0.7200824618339539, D Loss: 1.3855829238891602
epoch 6 iteration100, G Loss: 0.7300967574119568, D Loss: 1.3858726024627686
epoch 6 iteration200, G Loss: 0.750132143497467, D Loss: 1.3892163038253784
epoch 6 iteration300, G Loss: 0.7280362844467163, D Loss: 1.386795997619629
epoch 7 iteration100, G Loss: 0.7092965245246887, D Loss: 1.385395884513855
epoch 7 iteration200, G Loss: 0.7177009582519531, D Loss: 1.3858469724655151
epoch 7 iteration300, G Loss: 0.7403592467308044, D Loss: 1.3863976001739502
epoch 8 iteration100, G Loss: 0.7307849526405334, D Loss: 1.3854520320892334
epoch 8 iteration200, G Loss: 0.7049917578697205, D Loss: 1.3878265619277954
epoch 8 iteration300, G Loss: 0.7197298407554626, D Loss: 1.3867290019989014
epoch 9 iteration100, G Loss: 0.7248701453208923, D Loss: 1.3871893882751465
epoch 9 iteration200, G Loss: 0.7316859364509583, D Loss: 1.3872039318084717
epoch 9 iteration300, G Loss: 0.7218686938285828, D Loss: 1.3871418237686157
epoch 10 iteration100, G Loss: 0.7183423042297363, D Loss: 1.3864338397979736
epoch 10 iteration200, G Loss: 0.7098193764686584, D Loss: 1.384757161140442
epoch 10 iteration300, G Loss: 0.7374664545059204, D Loss: 1.3853378295898438
epoch 11 iteration100, G Loss: 0.7062143087387085, D Loss: 1.3853015899658203
epoch 11 iteration200, G Loss: 0.7324062585830688, D Loss: 1.3875553607940674
epoch 11 iteration300, G Loss: 0.7248638272285461, D Loss: 1.3862754106521606
epoch 12 iteration100, G Loss: 0.719023585319519, D Loss: 1.3856003284454346
epoch 12 iteration200, G Loss: 0.7171058654785156, D Loss: 1.385840654373169
epoch 12 iteration300, G Loss: 0.7249277234077454, D Loss: 1.3865867853164673
epoch 13 iteration100, G Loss: 0.7243472933769226, D Loss: 1.3853504657745361
epoch 13 iteration200, G Loss: 0.7215922474861145, D Loss: 1.3863264322280884
epoch 13 iteration300, G Loss: 0.7175930738449097, D Loss: 1.3854542970657349
epoch 14 iteration100, G Loss: 0.732620894908905, D Loss: 1.3869915008544922
epoch 14 iteration200, G Loss: 0.739739716053009, D Loss: 1.3860723972320557
epoch 14 iteration300, G Loss: 0.7196482419967651, D Loss: 1.3853650093078613
epoch 15 iteration100, G Loss: 0.7122267484664917, D Loss: 1.3878639936447144
epoch 15 iteration200, G Loss: 0.7284371256828308, D Loss: 1.3855538368225098
epoch 15 iteration300, G Loss: 0.7406949400901794, D Loss: 1.3864414691925049
epoch 16 iteration100, G Loss: 0.7165773510932922, D Loss: 1.3859431743621826
epoch 16 iteration200, G Loss: 0.7233456969261169, D Loss: 1.3861933946609497
epoch 16 iteration300, G Loss: 0.7474585175514221, D Loss: 1.386112093925476
epoch 17 iteration100, G Loss: 0.7226020693778992, D Loss: 1.3849973678588867
epoch 17 iteration200, G Loss: 0.7160835862159729, D Loss: 1.3860002756118774
epoch 17 iteration300, G Loss: 0.7326664924621582, D Loss: 1.385622262954712
epoch 18 iteration100, G Loss: 0.7249022722244263, D Loss: 1.3860647678375244
epoch 18 iteration200, G Loss: 0.7295541763305664, D Loss: 1.3862018585205078
epoch 18 iteration300, G Loss: 0.7204250693321228, D Loss: 1.386125087738037
epoch 19 iteration100, G Loss: 0.7124146819114685, D Loss: 1.385741949081421
epoch 19 iteration200, G Loss: 0.6923808455467224, D Loss: 1.3848631381988525
epoch 19 iteration300, G Loss: 0.7249026298522949, D Loss: 1.3866276741027832
epoch 20 iteration100, G Loss: 0.7230086326599121, D Loss: 1.3872976303100586
epoch 20 iteration200, G Loss: 0.718723714351654, D Loss: 1.3866260051727295
epoch 20 iteration300, G Loss: 0.7297093272209167, D Loss: 1.3878355026245117
epoch 21 iteration100, G Loss: 0.7195948362350464, D Loss: 1.3862333297729492
epoch 21 iteration200, G Loss: 0.7218892574310303, D Loss: 1.3857252597808838
epoch 21 iteration300, G Loss: 0.7178716063499451, D Loss: 1.3850501775741577
epoch 22 iteration100, G Loss: 0.7049343585968018, D Loss: 1.3867107629776
epoch 22 iteration200, G Loss: 0.7277769446372986, D Loss: 1.38541579246521
epoch 22 iteration300, G Loss: 0.7236303091049194, D Loss: 1.386995553970337
epoch 23 iteration100, G Loss: 0.7281759977340698, D Loss: 1.3868627548217773
epoch 23 iteration200, G Loss: 0.721602737903595, D Loss: 1.386474609375
epoch 23 iteration300, G Loss: 0.7406483888626099, D Loss: 1.3866522312164307
epoch 24 iteration100, G Loss: 0.727302610874176, D Loss: 1.386749029159546
epoch 24 iteration200, G Loss: 0.712303102016449, D Loss: 1.38482666015625
epoch 24 iteration300, G Loss: 0.7213827967643738, D Loss: 1.387373447418213
epoch 25 iteration100, G Loss: 0.7292010188102722, D Loss: 1.3863909244537354
epoch 25 iteration200, G Loss: 0.7056432366371155, D Loss: 1.3860268592834473
epoch 25 iteration300, G Loss: 0.7210207581520081, D Loss: 1.3865793943405151
epoch 26 iteration100, G Loss: 0.727816641330719, D Loss: 1.385559320449829
epoch 26 iteration200, G Loss: 0.7189095616340637, D Loss: 1.3866899013519287
epoch 26 iteration300, G Loss: 0.7201204895973206, D Loss: 1.3872817754745483
epoch 27 iteration100, G Loss: 0.7228517532348633, D Loss: 1.387288212776184
epoch 27 iteration200, G Loss: 0.7035505175590515, D Loss: 1.3878265619277954
